Price,^VIX,^TNX,GLD,^GSPC,AUDUSD=X
2022-12-29,21.440000534057617,3.8350000381469727,168.85000610351562,3849.280029296875,0.6747100949287415
2022-12-30,21.670000076293945,3.878999948501587,169.63999938964844,3839.5,0.6766000390052795
2023-01-03,22.899999618530273,3.7929999828338623,171.05999755859375,3824.139892578125,0.6805600523948669
2023-01-04,22.010000228881836,3.7090001106262207,172.6699981689453,3852.969970703125,0.6727999448776245
2023-01-05,22.459999084472656,3.7200000286102295,170.52000427246094,3808.10009765625,0.6829108595848083
2023-01-06,21.1299991607666,3.569000005722046,173.7100067138672,3895.080078125,0.6755697727203369
2023-01-09,21.969999313354492,3.5169999599456787,174.10000610351562,3892.090087890625,0.689398467540741
2023-01-10,20.579999923706055,3.621000051498413,174.74000549316406,3919.25,0.6909699440002441
2023-01-11,21.09000015258789,3.553999900817871,174.6199951171875,3969.610107421875,0.6895001530647278
2023-01-12,18.829999923706055,3.4489998817443848,176.63999938964844,3983.169921875,0.6910998225212097
2023-01-13,18.350000381469727,3.510999917984009,178.75999450683594,3999.090087890625,0.6967815160751343
2023-01-17,19.360000610351562,3.5350000858306885,177.58999633789062,3990.969970703125,0.6966398358345032
2023-01-18,20.34000015258789,3.375,177.0800018310547,3928.860107421875,0.6988413333892822
2023-01-19,20.520000457763672,3.3970000743865967,179.88999938964844,3898.85009765625,0.6944000720977783
2023-01-20,19.850000381469727,3.4839999675750732,179.2899932861328,3972.610107421875,0.691399872303009
2023-01-23,19.809999465942383,3.5250000953674316,179.6300048828125,4019.81005859375,0.6982703804969788
2023-01-24,19.200000762939453,3.4690001010894775,180.27999877929688,4016.949951171875,0.702928364276886
2023-01-25,19.079999923706055,3.4619998931884766,181.11000061035156,4016.219970703125,0.7046719789505005
2023-01-26,18.729999542236328,3.493000030517578,179.47000122070312,4060.429931640625,0.7108199596405029
2023-01-27,18.510000228881836,3.5179998874664307,179.22000122070312,4070.56005859375,0.7113898396492004
2023-01-30,19.940000534057617,3.5510001182556152,178.75999450683594,4017.77001953125,0.7107977271080017
2023-01-31,19.399999618530273,3.5290000438690186,179.41000366210938,4076.60009765625,0.7058099508285522
2023-02-01,17.8700008392334,3.3970000743865967,181.6699981689453,4119.2099609375,0.7051399946212769
2023-02-02,18.729999542236328,3.3959999084472656,177.89999389648438,4179.759765625,0.7145000696182251
2023-02-03,18.329999923706055,3.5320000648498535,173.4600067138672,4136.47998046875,0.7074687480926514
2023-02-06,19.43000030517578,3.634000062942505,173.82000732421875,4111.080078125,0.6920798420906067
2023-02-07,18.65999984741211,3.6740000247955322,173.97999572753906,4164.0,0.6887801885604858
2023-02-08,19.6299991607666,3.6530001163482666,174.41000366210938,4117.85986328125,0.6964598298072815
2023-02-09,20.709999084472656,3.683000087738037,173.02999877929688,4081.5,0.6930001974105835
2023-02-10,20.530000686645508,3.74399995803833,173.36000061035156,4090.4599609375,0.6939384341239929
2023-02-13,20.34000015258789,3.7170000076293945,172.47999572753906,4137.2900390625,0.6913477778434753
2023-02-14,18.90999984741211,3.760999917984009,172.61000061035156,4136.1298828125,0.6970000863075256
2023-02-15,18.229999542236328,3.809000015258789,170.88999938964844,4147.60009765625,0.6987583041191101
2023-02-16,20.170000076293945,3.8429999351501465,170.75,4090.409912109375,0.690689742565155
2023-02-17,20.020000457763672,3.828000068664551,171.25999450683594,4079.090087890625,0.6862400770187378
2023-02-21,22.8700008392334,3.9549999237060547,170.6199951171875,3997.340087890625,0.6909002065658569
2023-02-22,22.290000915527344,3.9230000972747803,169.66000366210938,3991.050048828125,0.686190128326416
2023-02-23,21.139999389648438,3.878999948501587,169.57000732421875,4012.320068359375,0.6812916994094849
2023-02-24,21.670000076293945,3.9489998817443848,168.35000610351562,3970.0400390625,0.6810133457183838
2023-02-27,20.950000762939453,3.921999931335449,169.00999450683594,3982.239990234375,0.6735684871673584
2023-02-28,20.700000762939453,3.9159998893737793,169.77999877929688,3970.14990234375,0.6743001937866211
2023-03-01,20.579999923706055,3.99399995803833,170.75999450683594,3951.389892578125,0.6730788350105286
2023-03-02,19.59000015258789,4.072999954223633,170.66000366210938,3981.35009765625,0.6759798526763916
2023-03-03,18.489999771118164,3.9639999866485596,172.49000549316406,4045.639892578125,0.6735000014305115
2023-03-06,18.610000610351562,3.9830000400543213,171.6199951171875,4048.419921875,0.6754611730575562
2023-03-07,19.59000015258789,3.9749999046325684,168.6199951171875,3986.3701171875,0.6733099818229675
2023-03-08,19.110000610351562,3.9760000705718994,168.5399932861328,3992.010009765625,0.6591001749038696
2023-03-09,22.610000610351562,3.924999952316284,170.1999969482422,3918.320068359375,0.6594000458717346
2023-03-10,24.799999237060547,3.694999933242798,173.8699951171875,3861.590087890625,0.6591001749038696
2023-03-13,26.520000457763672,3.515000104904175,177.86000061035156,3855.760009765625,0.6634203791618347
2023-03-14,23.729999542236328,3.638000011444092,176.8300018310547,3919.2900390625,0.6659198999404907
2023-03-15,26.139999389648438,3.492000102996826,178.2100067138672,3891.929931640625,0.6689097881317139
2023-03-16,22.989999771118164,3.5850000381469727,178.57000732421875,3960.280029296875,0.6618300080299377
2023-03-17,25.510000228881836,3.3949999809265137,183.77000427246094,3916.639892578125,0.6663401126861572
2023-03-20,24.149999618530273,3.4809999465942383,183.83999633789062,3951.570068359375,0.6713212132453918
2023-03-21,21.3799991607666,3.6059999465942383,180.3699951171875,4002.8701171875,0.6716899871826172
2023-03-22,22.260000228881836,3.5,183.44000244140625,3936.969970703125,0.667789876461029
2023-03-23,22.610000610351562,3.4059998989105225,185.74000549316406,3948.719970703125,0.6699314713478088
2023-03-24,21.739999771118164,3.380000114440918,183.64999389648438,3970.989990234375,0.6681597828865051
2023-03-27,20.600000381469727,3.5280001163482666,181.9499969482422,3977.530029296875,0.665530800819397
2023-03-28,19.969999313354492,3.563999891281128,183.44000244140625,3971.27001953125,0.6660095453262329
2023-03-29,19.1200008392334,3.565999984741211,182.52999877929688,4027.81005859375,0.6706907749176025
2023-03-30,19.020000457763672,3.5510001182556152,184.17999267578125,4050.830078125,0.6682482361793518
2023-03-31,18.700000762939453,3.49399995803833,183.22000122070312,4109.31005859375,0.6716818809509277
2023-04-03,18.549999237060547,3.430000066757202,184.5399932861328,4124.509765625,0.6658897995948792
2023-04-04,19.0,3.3369998931884766,187.97999572753906,4100.60009765625,0.6788502335548401
2023-04-05,19.079999923706055,3.2869999408721924,187.8300018310547,4090.3798828125,0.6758081316947937
2023-04-06,18.399999618530273,3.2880001068115234,186.49000549316406,4105.02001953125,0.6716683506965637
2023-04-10,18.969999313354492,3.4149999618530273,185.11000061035156,4109.10986328125,0.6673500537872314
2023-04-11,19.100000381469727,3.434000015258789,186.27999877929688,4108.93994140625,0.6648299694061279
2023-04-12,19.09000015258789,3.4210000038146973,187.19000244140625,4091.949951171875,0.6654002070426941
2023-04-13,17.799999237060547,3.4519999027252197,189.72000122070312,4146.22021484375,0.6699000597000122
2023-04-14,17.06999969482422,3.5220000743865967,186.36000061035156,4137.64013671875,0.6783998608589172
2023-04-17,16.950000762939453,3.5910000801086426,185.52999877929688,4151.31982421875,0.6705199480056763
2023-04-18,16.829999923706055,3.572000026702881,186.25,4154.8701171875,0.6700401306152344
2023-04-19,16.459999084472656,3.6019999980926514,185.36000061035156,4154.52001953125,0.6735698580741882
2023-04-20,17.170000076293945,3.5450000762939453,186.08999633789062,4129.7900390625,0.6705514192581177
2023-04-21,16.770000457763672,3.569999933242798,184.25,4133.52001953125,0.6743178963661194
2023-04-24,16.889999389648438,3.515000104904175,184.80999755859375,4137.0400390625,0.6693485379219055
2023-04-25,18.760000228881836,3.3959999084472656,185.75,4071.6298828125,0.6703805327415466
2023-04-26,18.84000015258789,3.431999921798706,184.74000549316406,4055.989990234375,0.663640022277832
2023-04-27,17.030000686645508,3.5280001163482666,184.75,4135.35009765625,0.6608380675315857
2023-04-28,15.779999732971191,3.4519999027252197,184.8000030517578,4169.47998046875,0.6630398035049438
2023-05-01,16.079999923706055,3.5739998817443848,183.97000122070312,4167.8701171875,0.6612401008605957
2023-05-02,17.780000686645508,3.438999891281128,187.52000427246094,4119.580078125,0.6622801423072815
2023-05-03,18.34000015258789,3.4030001163482666,189.11000061035156,4090.75,0.6673001646995544
2023-05-04,20.09000015258789,3.3510000705718994,190.44000244140625,4061.219970703125,0.6641517877578735
2023-05-05,17.190000534057617,3.446000099182129,187.4600067138672,4136.25,0.6696098446846008
2023-05-08,16.979999542236328,3.5209999084472656,187.69000244140625,4138.1201171875,0.6747683882713318
2023-05-09,17.709999084472656,3.5209999084472656,189.02000427246094,4119.169921875,0.6780994534492493
2023-05-10,16.940000534057617,3.438999891281128,188.75,4137.64013671875,0.6766906976699829
2023-05-11,16.93000030517578,3.3970000743865967,187.1300048828125,4130.6201171875,0.6781914234161377
2023-05-12,17.030000686645508,3.4630000591278076,186.80999755859375,4124.080078125,0.669989824295044
2023-05-15,17.1200008392334,3.507999897003174,187.2100067138672,4136.27978515625,0.6646903157234192
2023-05-16,17.989999771118164,3.5490000247955322,184.8699951171875,4109.89990234375,0.6703001260757446
2023-05-17,16.8700008392334,3.5810000896453857,184.22999572753906,4158.77001953125,0.6657789945602417
2023-05-18,16.049999237060547,3.6480000019073486,181.83999633789062,4198.0498046875,0.6655617952346802
2023-05-19,16.809999465942383,3.691999912261963,183.63999938964844,4191.97998046875,0.6629980802536011
2023-05-22,17.209999084472656,3.7190001010894775,183.2100067138672,4192.6298828125,0.666100025177002
2023-05-23,18.530000686645508,3.697999954223633,183.42999267578125,4145.580078125,0.6649687886238098
2023-05-24,20.030000686645508,3.7190001010894775,181.9499969482422,4115.240234375,0.6613581776618958
2023-05-25,19.139999389648438,3.813999891281128,180.1999969482422,4151.27978515625,0.6545102000236511
2023-05-26,17.950000762939453,3.809999942779541,180.9199981689453,4205.4501953125,0.6498485803604126
2023-05-30,17.459999084472656,3.700000047683716,182.0399932861328,4205.52001953125,0.6528502106666565
2023-05-31,17.940000534057617,3.63700008392334,182.32000732421875,4179.830078125,0.6517800092697144
2023-06-01,15.649999618530273,3.6080000400543213,183.75999450683594,4221.02001953125,0.6506401300430298
2023-06-02,14.600000381469727,3.690999984741211,181.0500030517578,4282.3701171875,0.657799482345581
2023-06-05,14.729999542236328,3.693000078201294,182.13999938964844,4273.7900390625,0.6599997878074646
2023-06-06,13.960000038146973,3.6989998817443848,182.33999633789062,4283.85009765625,0.6613494157791138
2023-06-07,13.9399995803833,3.7839999198913574,180.14999389648438,4267.52001953125,0.6679089665412903
2023-06-08,13.649999618530273,3.7139999866485596,182.52999877929688,4293.93017578125,0.665860116481781
2023-06-09,13.829999923706055,3.744999885559082,182.0399932861328,4298.85986328125,0.671259880065918
2023-06-12,15.010000228881836,3.765000104904175,181.8800048828125,4338.93017578125,0.6744998693466187
2023-06-13,14.609999656677246,3.8389999866485596,180.5399932861328,4369.009765625,0.6753101944923401
2023-06-14,13.880000114440918,3.7960000038146973,180.63999938964844,4372.58984375,0.6769289374351501
2023-06-15,14.5,3.7279999256134033,181.91000366210938,4425.83984375,0.6796895265579224
2023-06-16,13.539999961853027,3.7690000534057617,181.6300048828125,4409.58984375,0.688029944896698
2023-06-20,13.880000114440918,3.7290000915527344,179.75,4388.7099609375,0.6851379871368408
2023-06-21,13.199999809265137,3.7230000495910645,179.49000549316406,4365.68994140625,0.6788820624351501
2023-06-22,12.90999984741211,3.7990000247955322,177.7100067138672,4381.89013671875,0.6798702478408813
2023-06-23,13.4399995803833,3.739000082015991,178.1999969482422,4348.330078125,0.6760699152946472
2023-06-26,14.25,3.7190001010894775,178.50999450683594,4328.81982421875,0.6680517792701721
2023-06-27,13.739999771118164,3.7679998874664307,177.69000244140625,4378.41015625,0.6674498319625854
2023-06-28,13.430000305175781,3.7100000381469727,177.27999877929688,4376.85986328125,0.668140172958374
2023-06-29,13.539999961853027,3.8540000915527344,177.08999633789062,4396.43994140625,0.6600616574287415
2023-06-30,13.59000015258789,3.819000005722046,178.27000427246094,4450.3798828125,0.6619710922241211
2023-07-03,13.569999694824219,3.8580000400543213,178.47000122070312,4455.58984375,0.6658321619033813
2023-07-05,14.180000305175781,3.944999933242798,177.83999633789062,4446.81982421875,0.6692701578140259
2023-07-06,15.4399995803833,4.040999889373779,177.30999755859375,4411.58984375,0.6656903028488159
2023-07-07,14.829999923706055,4.050000190734863,178.63999938964844,4398.9501953125,0.6628398895263672
2023-07-10,15.069999694824219,4.00600004196167,178.77999877929688,4409.52978515625,0.6688382029533386
2023-07-11,14.84000015258789,3.9800000190734863,179.4499969482422,4439.259765625,0.667900025844574
2023-07-12,13.539999961853027,3.8610000610351562,181.8800048828125,4472.16015625,0.6693798899650574
2023-07-13,13.609999656677246,3.760999917984009,182.00999450683594,4510.0400390625,0.6792786121368408
2023-07-14,13.34000015258789,3.819000005722046,181.42999267578125,4505.419921875,0.6888617873191833
2023-07-17,13.479999542236328,3.796999931335449,181.55999755859375,4522.7900390625,0.6837793588638306
2023-07-18,13.300000190734863,3.7890000343322754,183.63999938964844,4554.97998046875,0.6810500025749207
2023-07-19,13.760000228881836,3.742000102996826,183.6699981689453,4565.72021484375,0.6814821362495422
2023-07-20,13.989999771118164,3.8540000915527344,182.74000549316406,4534.8701171875,0.6769999265670776
2023-07-21,13.600000381469727,3.8369998931884766,182.17999267578125,4536.33984375,0.6778190732002258
2023-07-24,13.90999984741211,3.8570001125335693,181.39999389648438,4554.64013671875,0.6725800037384033
2023-07-25,13.859999656677246,3.9119999408721924,182.41000366210938,4567.4599609375,0.6733009219169617
2023-07-26,13.1899995803833,3.8510000705718994,183.3000030517578,4566.75,0.6787599325180054
2023-07-27,14.40999984741211,4.01200008392334,180.4199981689453,4537.41015625,0.6759999394416809
2023-07-28,13.329999923706055,3.9690001010894775,181.86000061035156,4582.22998046875,0.6711859703063965
2023-07-31,13.630000114440918,3.9590001106262207,182.35000610351562,4588.9599609375,0.6660805344581604
2023-08-01,13.930000305175781,4.051000118255615,180.4600067138672,4576.72998046875,0.6716818809509277
2023-08-02,16.09000015258789,4.078000068664551,179.60000610351562,4513.39013671875,0.6617608070373535
2023-08-03,15.920000076293945,4.189000129699707,179.5399932861328,4501.89013671875,0.6544999480247498
2023-08-04,17.100000381469727,4.059999942779541,180.19000244140625,4478.02978515625,0.6561206579208374
2023-08-07,15.770000457763672,4.078000068664551,179.77999877929688,4518.43994140625,0.657371461391449
2023-08-08,15.989999771118164,4.026000022888184,178.63999938964844,4499.3798828125,0.6572591066360474
2023-08-09,15.960000038146973,4.01200008392334,177.7899932861328,4467.7099609375,0.6531601548194885
2023-08-10,15.850000381469727,4.079999923706055,177.60000610351562,4468.830078125,0.6536802053451538
2023-08-11,14.84000015258789,4.168000221252441,177.60000610351562,4464.0498046875,0.6512498259544373
2023-08-14,14.819999694824219,4.184000015258789,177.05999755859375,4489.72021484375,0.6495404839515686
2023-08-15,16.459999084472656,4.2210001945495605,176.58999633789062,4437.85986328125,0.6488400101661682
2023-08-16,16.780000686645508,4.257999897003174,175.57000732421875,4404.330078125,0.6457903981208801
2023-08-17,17.889999389648438,4.308000087738037,175.3000030517578,4370.35986328125,0.6414697170257568
2023-08-18,17.299999237060547,4.250999927520752,175.3300018310547,4369.7099609375,0.6406888961791992
2023-08-21,17.1299991607666,4.3420000076293945,175.80999755859375,4399.77001953125,0.6414697170257568
2023-08-22,16.969999313354492,4.328000068664551,176.10000610351562,4387.5498046875,0.6414080262184143
2023-08-23,15.979999542236328,4.197999954223633,177.88999938964844,4436.009765625,0.6427999138832092
2023-08-24,17.200000762939453,4.235000133514404,177.85000610351562,4376.31005859375,0.6480587720870972
2023-08-25,15.680000305175781,4.238999843597412,177.6199951171875,4405.7099609375,0.6413956880569458
2023-08-28,15.079999923706055,4.211999893188477,178.1300048828125,4433.31005859375,0.6416714191436768
2023-08-29,14.449999809265137,4.122000217437744,179.8699951171875,4497.6298828125,0.6428180932998657
2023-08-30,13.880000114440918,4.118000030517578,180.32000732421875,4514.8701171875,0.647659957408905
2023-08-31,13.569999694824219,4.0929999351501465,180.02000427246094,4507.66015625,0.6478782296180725
2023-09-01,13.09000015258789,4.172999858856201,180.11000061035156,4515.77001953125,0.6488408446311951
2023-09-05,14.010000228881836,4.26800012588501,178.63999938964844,4496.830078125,0.6458100080490112
2023-09-06,14.449999809265137,4.289999961853027,177.8300018310547,4465.47998046875,0.6375396251678467
2023-09-07,14.399999618530273,4.260000228881836,178.02000427246094,4451.14013671875,0.6383001804351807
2023-09-08,13.84000015258789,4.257999897003174,178.0800018310547,4457.490234375,0.6377400159835815
2023-09-11,13.800000190734863,4.288000106811523,178.41000366210938,4487.4599609375,0.6397993564605713
2023-09-12,14.229999542236328,4.263999938964844,177.49000549316406,4461.89990234375,0.643200159072876
2023-09-13,13.479999542236328,4.249000072479248,177.0800018310547,4467.43994140625,0.6428180932998657
2023-09-14,12.819999694824219,4.288000106811523,177.1699981689453,4505.10009765625,0.6421617865562439
2023-09-15,13.789999961853027,4.322000026702881,178.33999633789062,4450.31982421875,0.6432398557662964
2023-09-18,14.0,4.318999767303467,179.38999938964844,4453.52978515625,0.6440501809120178
2023-09-19,14.109999656677246,4.364999771118164,179.22000122070312,4443.9501953125,0.643960177898407
2023-09-20,15.140000343322754,4.348999977111816,179.35000610351562,4402.2001953125,0.646600067615509
2023-09-21,17.540000915527344,4.480000019073486,178.0500030517578,4330.0,0.6436100006103516
2023-09-22,17.200000762939453,4.438000202178955,178.6199951171875,4320.06005859375,0.6409598588943481
2023-09-25,16.899999618530273,4.541999816894531,177.6999969482422,4337.43994140625,0.6440999507904053
2023-09-26,18.940000534057617,4.558000087738037,176.27999877929688,4273.52978515625,0.6422001123428345
2023-09-27,18.219999313354492,4.625999927520752,174.10000610351562,4274.509765625,0.6393861770629883
2023-09-28,17.34000015258789,4.5970001220703125,173.22999572753906,4299.7001953125,0.634759783744812
2023-09-29,17.520000457763672,4.572999954223633,171.4499969482422,4288.0498046875,0.6427974700927734
2023-10-02,17.610000610351562,4.683000087738037,169.64999389648438,4288.39013671875,0.6437202095985413
2023-10-03,19.780000686645508,4.802000045776367,169.16000366210938,4229.4501953125,0.6362699270248413
2023-10-04,18.579999923706055,4.735000133514404,169.13999938964844,4263.75,0.6308901309967041
2023-10-05,18.489999771118164,4.7170000076293945,168.8300018310547,4258.18994140625,0.6329101920127869
2023-10-06,17.450000762939453,4.783999919891357,169.6999969482422,4308.5,0.6371049880981445
2023-10-09,17.700000762939453,4.796999931335449,172.82000732421875,4335.66015625,0.6371999979019165
2023-10-10,17.030000686645508,4.65500020980835,172.52999877929688,4358.240234375,0.6420900225639343
2023-10-11,16.09000015258789,4.59499979019165,173.7899932861328,4376.9501953125,0.643347442150116
2023-10-12,16.690000534057617,4.711999893188477,173.25999450683594,4349.60986328125,0.6418097615242004
2023-10-13,19.31999969482422,4.629000186920166,178.8300018310547,4327.77978515625,0.6316800117492676
2023-10-16,17.209999084472656,4.711999893188477,177.9600067138672,4373.6298828125,0.6312999725341797
2023-10-17,17.8799991607666,4.8470001220703125,178.2899932861328,4373.2001953125,0.6337798237800598
2023-10-18,19.219999313354492,4.9039998054504395,180.8699951171875,4314.60009765625,0.6362699270248413
2023-10-19,21.399999618530273,4.98799991607666,183.08999633789062,4278.0,0.6332400441169739
2023-10-20,21.709999084472656,4.923999786376953,183.58999633789062,4224.16015625,0.6326999664306641
2023-10-23,20.3700008392334,4.8379998207092285,182.97000122070312,4217.0400390625,0.6320393085479736
2023-10-24,18.969999313354492,4.840000152587891,182.9499969482422,4247.68017578125,0.6336702108383179
2023-10-25,20.190000534057617,4.953000068664551,183.72000122070312,4186.77001953125,0.6360999345779419
2023-10-26,20.68000030517578,4.84499979019165,184.00999450683594,4137.22998046875,0.6296999454498291
2023-10-27,21.270000457763672,4.84499979019165,186.14999389648438,4117.3701171875,0.6335999369621277
2023-10-30,19.75,4.875,185.10000610351562,4166.81982421875,0.6338903307914734
2023-10-31,18.139999389648438,4.875,184.08999633789062,4193.7998046875,0.637100100517273
2023-11-01,16.8700008392334,4.789000034332275,183.50999450683594,4237.85986328125,0.6339948177337646
2023-11-02,15.65999984741211,4.669000148773193,184.1199951171875,4317.77978515625,0.642259955406189
2023-11-03,14.90999984741211,4.558000087738037,184.7899932861328,4358.33984375,0.6427900195121765
2023-11-06,14.890000343322754,4.6620001792907715,183.35000610351562,4365.97998046875,0.6516865491867065
2023-11-07,14.8100004196167,4.571000099182129,182.58999633789062,4378.3798828125,0.6489419341087341
2023-11-08,14.449999809265137,4.5229997634887695,180.77000427246094,4382.77978515625,0.6430099010467529
2023-11-09,15.289999961853027,4.630000114440918,181.49000549316406,4347.35009765625,0.6405698657035828
2023-11-10,14.170000076293945,4.627999782562256,179.50999450683594,4415.240234375,0.6361699104309082
2023-11-13,14.760000228881836,4.631999969482422,180.50999450683594,4411.5498046875,0.6364598870277405
2023-11-14,14.15999984741211,4.440999984741211,182.1199951171875,4495.7001953125,0.6381002068519592
2023-11-15,14.180000305175781,4.534999847412109,181.63999938964844,4502.8798828125,0.6499837636947632
2023-11-16,14.319999694824219,4.445000171661377,183.69000244140625,4508.240234375,0.6511502265930176
2023-11-17,13.800000190734863,4.440999984741211,183.6699981689453,4514.02001953125,0.6470816731452942
2023-11-20,13.40999984741211,4.421999931335449,183.3699951171875,4547.3798828125,0.6513597369194031
2023-11-21,13.350000381469727,4.418000221252441,185.35000610351562,4538.18994140625,0.6564001441001892
2023-11-22,12.850000381469727,4.415999889373779,184.55999755859375,4556.6201171875,0.6559097170829773
2023-11-24,12.460000038146973,4.4720001220703125,185.52000427246094,4559.33984375,0.6560100317001343
2023-11-27,12.6899995803833,4.388999938964844,186.77000427246094,4550.43017578125,0.658129870891571
2023-11-28,12.6899995803833,4.335999965667725,189.25999450683594,4554.89013671875,0.661250114440918
2023-11-29,12.979999542236328,4.270999908447266,189.5399932861328,4550.580078125,0.6658999919891357
2023-11-30,12.920000076293945,4.3520002365112305,188.75,4567.7998046875,0.6619009971618652
2023-12-01,12.630000114440918,4.22599983215332,192.00999450683594,4594.6298828125,0.6606799960136414
2023-12-04,13.079999923706055,4.288000106811523,187.86000061035156,4569.77978515625,0.6682884097099304
2023-12-05,12.850000381469727,4.171000003814697,187.14999389648438,4567.18017578125,0.6617100238800049
2023-12-06,12.970000267028809,4.120999813079834,187.83999633789062,4549.33984375,0.6554699540138245
2023-12-07,13.0600004196167,4.129000186920166,188.14999389648438,4585.58984375,0.6551401019096375
2023-12-08,12.350000381469727,4.244999885559082,185.63999938964844,4604.3701171875,0.6594479084014893
2023-12-11,12.630000114440918,4.238999843597412,183.58999633789062,4622.43994140625,0.6579799652099609
2023-12-12,12.069999694824219,4.205999851226807,183.49000549316406,4643.7001953125,0.6565001010894775
2023-12-13,12.1899995803833,4.0329999923706055,187.6300048828125,4707.08984375,0.6564600467681885
2023-12-14,12.479999542236328,3.930000066757202,188.72999572753906,4719.5498046875,0.6665000319480896
2023-12-15,12.279999732971191,3.927999973297119,187.0,4719.18994140625,0.6702682375907898
2023-12-18,12.5600004196167,3.9539999961853027,187.85000610351562,4740.56005859375,0.6698910593986511
2023-12-19,12.529999732971191,3.921999931335449,189.1300048828125,4768.3701171875,0.6703715920448303
2023-12-20,13.670000076293945,3.877000093460083,188.10000610351562,4698.35009765625,0.6762998700141907
2023-12-21,13.649999618530273,3.8940000534057617,189.42999267578125,4746.75,0.6739816665649414
2023-12-22,13.029999732971191,3.9010000228881836,190.27000427246094,4754.6298828125,0.6796802878379822
2023-12-26,12.989999771118164,3.885999917984009,191.72000122070312,4774.75,0.6806008219718933
2023-12-27,12.430000305175781,3.7890000343322754,192.58999633789062,4781.580078125,0.6823800802230835
